"id","tier","target_folder","source_path","role","status","bytes","sha256"
"A41F","A","10_TESTS","C:\Users\Alex\Downloads\Y4_STAGEI_AUTHORITY_FIXTURE.xz.b85","Sealed historical authority fixture","fixture not independent discovery","78736","718270E59F921F32D7A576E4D4A36087667009F65D4A90C0DE76539E377DCEF3"
"A50J","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\Y4_SUN_ALL_N_GE_3_BAND_SHAPE_CERTIFICATE_2026-06-14.json","All-rank band-shape certificate","output-certified","6668","B470A8E2CECC7E36660A33B956977C946A64158E7E7FA291DA1C906F33BF557A"
"A50M","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\Y4_SUN_ALL_N_GE_3_BAND_SHAPE_CERTIFICATE_2026-06-14.md","All-rank band-shape report","output-certified","2720","95186F8E7E6344B3980018DD050E073E46524E182CC66485CC4A361E554198A4"
"A50V","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\y4_sun_all_n_ge3_band_shape_verify.py","All-rank formula verifier","cold verifier over saved outputs","2986","2B6BE8918E611ACD799A76C475783D1B73FD72CADC02AD349234F63F66981F71"
"A51J","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\Y4_SUN_WALLED_BRAUER_FULL_SYMBOLIC_CERTIFICATE_2026-06-14.json","Full symbolic certificate","output-certified","9514","068CEBB27C29D2D43A38B8CA153BCF393234BAB116BC0D75DA45D5DE3A95C7F4"
"A51M","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\Y4_SUN_WALLED_BRAUER_FULL_SYMBOLIC_CERTIFICATE_2026-06-14.md","Full symbolic report","output-certified","5420","F4EB090C5E0A953559DFCFFC1D1489FD777F64468DCBB4758E7C2F07E980B0C2"
"A52J","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\independent_rerun_kernels\Y4_SUN_FULL_SYMBOLIC_INDEPENDENT_RERUN_2026-06-14.json","Independent-rerun kernels","supporting output","17500","4DD28303EA3AF36D9ED89B1ED2498C6D9907FCAEDB0BA7F6361B8C5B648D05CC"
"A52M","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\independent_rerun_kernels\Y4_SUN_FULL_SYMBOLIC_INDEPENDENT_RERUN_2026-06-14.md","Independent-rerun report","supporting output","3595","40744B2EFAD07638F4AA00B88E70537CC21DFE90828D9516C7CE1BC13AFF7DFF"
"A60","A","08_PENTAGONAL_SEPARATE_MODEL","C:\ALL THEORY\archive\zips\pentagonal_o4_dual_cold_verification_bundle.zip","Pentagonal isotropic cap exact bundle","dual-cold exact separate model; tuned Hodge excluded","111743","F2A8B30DE1BA5F23F34C10A3102C42F000CA23F8F7EB1BBFDD9B068BB14DA54A"
"A60F1","A","08_PENTAGONAL_SEPARATE_MODEL","C:\ALL THEORY\numerics\engines\ENGINE_PENT_pentagonal_o4_minimal_representation_frontier.py","Pentagonal O4 raw representation-frontier engine","exact source; identifies raw Gram/Haar frontier without importing h4_side","9513","F54937E718803B20560F6BC5CDF2DBD50379D000A22C3F5350A3ECE2D616BE51"
"A60F2","A","08_PENTAGONAL_SEPARATE_MODEL","C:\ALL THEORY\numerics\certificates\RUN_PENT_pentagonal_o4_minimal_representation_frontier_results.json","Pentagonal O4 raw representation-frontier certificate","exact machine-readable output; 8/8 saved gates","17545","C8D4926BFFBB9D513FFA9958D1AE6CE432098FA9CCD5663812D414A44275AC2B"
"A60F3","A","08_PENTAGONAL_SEPARATE_MODEL","C:\ALL THEORY\records\transcripts\pentagonal_o4_minimal_representation_frontier_results.txt","Pentagonal O4 raw representation-frontier report","exact saved report; Fierz closure boundary stated","5459","9458217C0165CEF6752A6481F2E29A14805DD920C5E06243CEB6CA134062AA84"
"A60Z1","A","08_PENTAGONAL_SEPARATE_MODEL","C:\ALL THEORY\numerics\engines\ENGINE_FLUX_audit_stranded_zero_backend.py","Stranded-flux zero-backend audit engine","exact source; falsifies balanced-sector zero backend","12438","A42800A91809A77BBD1D339AC604EA80A234EED305377BBABBF890FEE98FDE55"
"A60Z2","A","08_PENTAGONAL_SEPARATE_MODEL","C:\ALL THEORY\numerics\certificates\AUDIT_FLUX_stranded_zero_backend_results.json","Stranded-flux zero-backend audit certificate","exact machine-readable output; 8/8 saved gates","21608","D215FA1E9CD0BDE0410EEC16C687182C30BC62FA3F28C1445FD81E93888E1D60"
"A60Z3","A","08_PENTAGONAL_SEPARATE_MODEL","C:\ALL THEORY\records\transcripts\audit_stranded_flux_zero_backend_results.txt","Stranded-flux zero-backend audit report","exact Haar witness; zero backend falsified; does not compute h4_side","1170","3955A58963268B67557F3DAD2E455BC8A4756EEA3A1266B05A1F47A139423B9B"
"C20P","C","08_PENTAGONAL_SEPARATE_MODEL","C:\ALL THEORY\records\transcripts\pentagonal_prism_O5_decisive_resolvent_results.txt","Pentagonal O5 direct-sector resolvent candidate transcript","prose-only record; no located generator or certificate; not full linked/folded coefficient","3703","A27FE4484CFD16BEC9E88CDEE11C497A82B0EA5CF22C0CF63E6B274F00CC52B5"
"C20O","C","90_SUPERSEDED","C:\ALL THEORY\archive\zips\pentagonal_verification_bundle.zip","Earlier pentagonal import-only verification bundle","superseded audit history; correctly rejected unsupported h4_side promotion","60144","ECF36CD860CE69F8B79F277AE387193FC665BE0A9020FA8554CB9C73166F6195"
"C20S","C","90_SUPERSEDED","C:\ALL THEORY\theory\theorems\THM_FLUX_strongest_formula_resolved_cellular_mobility_2026-08-20.md","Earlier strongest-formula synthesis","superseded status language; overgrades pentagonal O5 transcript as cold-reproduced","11016","555620AA302AA1C9312E81AF2B80191EC58051BFDFFBB661024A3E4472925BA8"
"B10","B","90_SUPERSEDED","C:\Users\Alex\Downloads\SU_N_Homological_Flat_Bands_and_Rank_Cubic_Spectral_Geometry.docx","Older all-rank topology derivation","safe lower-order formulas; stale higher-order status","52367","AF3A56E74FEACFD68A07A2EB95090CF9540717165649C6090037F1229EE36ED8"
"B11","B","90_SUPERSEDED","C:\Users\Alex\Downloads\GAUGE_CONSTRAINED_SPECTRAL_GEOMETRY_UNIFIED_v1_4_2026-08-08.pdf","August 8 unified review","useful local theorem and architecture; stale O4 interpretation","417729","AD6774C7CBBB61D707155102CE8A15E9972B1A2EE82F7CB038881F56D86E9ED4"
"B12","B","90_SUPERSEDED","C:\Users\Alex\Downloads\flatband paper.pdf","July flat-band paper","safe topology and conditional rigidity; historical notation","326323","A04D73EF71C4EBB4EF37C74897714E3AEEC7103701BF274187028A7C850E8AB5"
"B13N","B","90_SUPERSEDED","C:\SIMULATIONS\NOVEL_DERIVATIONS.md","Larger revised August 8 derivation audit","legacy forensic source","29483","50AABDA6824CE4E18099888DDBC3ED3E11DEE17E448BA175BB1A2883974039F8"
"B13O","C","90_SUPERSEDED","C:\Users\Alex\Downloads\NOVEL_DERIVATIONS.md","Earlier derivation audit revision","superseded by larger simulations copy","22928","05FF650CDE1B82AEF73BEA7DEDD9721064F49C2CA7BB37217864C6DF6546D53C"
"B14C","B","07_MONTE_CARLO_BRIDGE","C:\Users\Alex\Downloads\SU3_T1pm_spatial_MC_POLARIZATION_v3 (1).py","Finite-momentum polarization and MC analysis code","code only; not ensemble certificate","133805","674F0C8E34E9B9A1D18920C6F88C5815EE83BD2EE22891AC7163CF8FF2DDD6F1"
"B14N","B","07_MONTE_CARLO_BRIDGE","C:\Users\Alex\Downloads\10-su3-monte-carlo.md","Monte Carlo audit note","supporting status record","16437","8B94E41B8360A9979911560F0268FB8ABB31C494B64987F6D59B8E12D0955662"
"B15","B","90_SUPERSEDED","C:\Users\Alex\Downloads\UNIFIED_THEORY_RECORD_RANK_CUBIC_SPECTRAL_GEOMETRY_2026-08-01.md","Older unified status record","use with August corrections","25202","EA7B47C62F9ED4521DF82C628FC7CEA9EE06D393F5C1B2862AE61853E29056B9"
"C00","C","90_SUPERSEDED","C:\Users\Alex\Downloads\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20.md","Previous main formula document","superseded by v2","44191","BD9E684972C0ACACE17E585F2F038C7BAAC8ECB52A0DA3FB61C53A272F8B86A6"
"C01","C","90_SUPERSEDED","C:\Users\Alex\Downloads\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_ADDENDUM.md","Previous addendum","folded into v2","8902","04665D092E899D6D2A5E1ACDFE727BB108593A61D5F926ABB6C2FF389241B215"
"A09E","A","02_NORMALIZATION","F:\THEORY\papers\flat_band\NORMALIZATION_ERRATUM_2026-06-14.md","Canonical coupling-label erratum","governing convention record","3091","A1B04381951DF6F4A2080E110C253E8D6F10113E579B57B19822F5E7B05D51F8"
"A09C","A","02_NORMALIZATION","F:\THEORY\programs\one_plaquette\su3_o5_consolidated_y6\GLUEBALL_COUPLING_NORMALIZATION_AUDIT_2026-06-14.md","Hamiltonian coupling audit","governing convention record","5049","D7D66C62250CD4F2F969C4CE43BB6FFCFD6AFF832B12692BA390946C51CC63F9"
"A09S","A","02_NORMALIZATION","F:\THEORY\programs\one_plaquette\su3_o5_consolidated_y6\sources\GLUEBALL_STRING_NORMALIZATION_AUDIT_2026-06-14.md","String-series normalization audit","governing convention record","2928","E5A1D1240025D29D2F1BF9AE6AFEF07A60CDEF5988003B07EBAA07098506344D"
"A09Z","A","02_NORMALIZATION","F:\THEORY\ZIP ARCHIVES\GLUEBALL_STRING_NORMALIZATION_CORRECTION_V2.zip","Atomic normalization correction archive","canonical atomic bundle","39112","421C3AD0C38F6A2D3900B2239C31219318033B5A48844A88B3AA13C6E2670DA6"
"A14M","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\su3_moments_ext.py","SU3 moment helper required by domino chain","cold dependency","17214","C4F4D702BCB2DFAB2EE766A3D1B731C823AEA481E46200A8543655162456C853"
"A14D","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\su3_domino_d3.py","Exact third-order domino certificate","cold 251-of-251; output path nonportable","34816","D0E9D9905D7AB17667C59B5D0AD42CA8E7733A597528B9490D5AD228C4A0D5FA"
"A14R","A","03_HOMOLOGY_O2_O3","E:\YANG\ORGANIZED\12_ONE_PLAQUETTE\domino_certificates\d3_results.json","Exact third-order domino output","cold result","853","D2D653B427E35CA80E961B58E923AB186853011149E2DE829BFC926EE44F7242"
"A14T1","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\tromino_o3\tromino_contract_independent_check.py","Independent third-order contraction check","supporting exact certificate","13751","8F53B0FE892D506D21340E3FECC0C463BDCD6CEBFF01384C21353B874B345E81"
"A14T2","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\tromino_o3\tromino_candidate_closed_form_check.py","Third-order closed-form check","supporting exact certificate","3572","999F702C810E4AD3623189F37C419BB4D4F2F33748235EAA248C8E513279EEB1"
"A14V","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\master_v2_regression_certificate.py","Lower-order master regression","supporting certificate","9510","D1DAE1C784BB4774D329CC66E3412B2BE9781105F5CEBB4E7B9B3D26B12E8FDA"
"A23C1","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\indep_cert_check.py","Independent historical-kernel certificate check","exact fixed-kernel audit","3460","4960EBADB3D8347F73E585543B99F6359E26C357C8A83540B14A6469A2B9457E"
"A23C2","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\y4_independent_verification.py","Independent historical-kernel verification","exact fixed-kernel audit","6217","2189FD5617FBA523FC0B0F1A2B83E99409D3161903DC955A6121CA2A24F525E6"
"A23K","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\curvature_audit.log","Directional-curvature and no-Hessian audit","governing terminology correction","2856","F48D368AE47AC6A4ECAAB334036E98D4BD27FB29839BE5F13295B7E041056FDA"
"A23R","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\REVIEW_global_band_edge_certificate.md","Independent global-edge review","supporting exact audit","3412","4B66BB0C755548719BFC4B9260BCD277498C413308CC353C07216387D51D0008"
"A23S","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\SUMMARY.md","Historical O4 verification summary","supporting status record","5098","8ED9623D5DE83639793C9E280DE08235E85BAFFA0EF7716355C2F25CB6BC4812"
"A23T","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\THEOREM_Y4_FLAT_BAND_BREAKING_2026-06-13.md","Historical theorem with stale coupling label","must travel with normalization erratum","8993","061F049B42811D1F16D5927C2D021358050861238F1AAA2E3C64F961980B7AA3"
"A53Z1","A","06_ALL_RANK_O4","F:\THEORY\ZIP ARCHIVES\Y4_SUN_ALL_N_GE_3_BAND_SHAPE_BUNDLE_2026-06-14.zip","Complete all-N band-shape archive","authoritative atomic archive","217610","CAF998A7AAB36FAF89D5A08A76C2F0BE4EFA5F6C67D70723B5D1F1A7DBAA3DF9"
"A53Z2","A","06_ALL_RANK_O4","F:\THEORY\ZIP ARCHIVES\Y4_SUN_WALLED_BRAUER_FULL_SYMBOLIC_BUNDLE_2026-06-14_V2.zip","Corrected full-symbolic all-rank output archive","authoritative atomic output archive; not one-shot 35130-path regeneration","459146","F3439DA7D6067B81276212D0789607714FFA866B7F7B285141084B841176B793"
"A53Z3","A","06_ALL_RANK_O4","F:\THEORY\ZIP ARCHIVES\Y4_SUN_SYMBOLIC_QAB_COMPACT_BUNDLE.zip","Compact QAB and P17-R20 archive","authoritative dependency bundle","9624","F8449BBF6BF1C865EAF41BFB4F31FBB9C89A7D833C820D204E6D3E28FE735A13"
"A61S","A","07_MONTE_CARLO_BRIDGE","C:\Users\Alex\Downloads\SU3_T1pm_spatial_MC_nextrun.py","August finite-volume Monte Carlo source","source for structured numerical evidence","72561","73AF866AC2B593C3EC80719C202A122131BD1769982762F72DD0C6261E2A6A55"
"A61R","A","07_MONTE_CARLO_BRIDGE","C:\Users\Alex\Downloads\next14.json","August L14 Monte Carlo structured output","numerical evidence; no raw ensemble","10938","94EE3BFB9294441E4ACBA0730669DD06AD8ED5AB471A3DED532A5D100812F04B"
"A62P","A","09_PRIMARY_LITERATURE","C:\Users\Alex\Downloads\8010101.pdf","Historical Hamiltonian convention paper","primary local convention source","431169","FFB45AFDE017A1F020E98ADB8567A71CFE950F8A05406A4823A4A1717B521CAB"
"B16","B","09_PRIMARY_LITERATURE","C:\Users\Alex\Downloads\Novelty-and-Priors Literature Check C-odd SU(N) Plaquette Observables, Trigonometric Factorizations, and One-Plaquette Gap Asymptotics.md","Research-prior and novelty audit","secondary research note","23532","A96C82DAF5F3F3EB946179D0373EA39E00FD7CA0607CB48C417DFE5CED11F4D8"
"B17","B","90_SUPERSEDED","C:\Users\Alex\Downloads\su4_band_audit.md","SU4 audit note","supporting but scientifically stale in parts","5390","AA709ECFA1EADC889A13AD6AA68E762D014F6E2497C92D276ACFE3099B349F61"
"C02","C","90_SUPERSEDED","C:\Users\Alex\Downloads\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_v2.md","Prior theorem revision","superseded by v3.1","26315","43FE1A98D085A5B5DF142DB9AF85A50D963B050FF6894ED6AB9C2F74B485EED2"
"Q00","Q","99_QUARANTINE","C:\Users\Alex\Downloads\SOURCEOFGOD.txt","Conversation transcript containing forensic leads","not canonical scientific evidence","170433","BF637392B67C20861B36E7FEBA33CC447668392A8BE7D885AE0CE7F946FE78ED"
"C03","C","90_SUPERSEDED","C:\Users\Alex\Downloads\MASTER_THEORY.md","Broad legacy master synthesis","superseded by unified master v4.2 final","126954","9FD32C05136EC5E10E09DB9BCC46DD9E86CAA42F9BADBC3B72CE3351F6227DC3"
"C04","C","90_SUPERSEDED","C:\Users\Alex\Downloads\MASTER_THEORY_UNIFIED_2026-08-20_v2.md","Partial unified-master predecessor","superseded partial draft","8942","52B7EF5C3EAA1C778A0B79D58A87A2ABC2E0C398EF7C4CDA5718A6AF5EE6C051"
"C05","C","90_SUPERSEDED","C:\Users\Alex\Downloads\GLUEBALL_SOURCE_CONSOLIDATION_GUIDE_2026-08-20_v2.md","Previous consolidation guide","superseded by guide v4.2 final","18966","0F3E359573C0C8CD5C827DF556699B14D790840A4F2E14B1BAF313ECD3C57FB4"
"C06","C","90_SUPERSEDED","C:\Users\Alex\Downloads\GLUEBALL_CANONICAL_SOURCE_MANIFEST_2026-08-20_v2.csv","Previous byte-level provenance snapshot","superseded by manifest v4.2 final","18439","31275C8EFDD2A006CD29DFD2D7720201399B3820D0C8C50B2899D66B872AF289"
"A24Z","A","04_HISTORICAL_SU3_O4","F:\THEORY\ZIP ARCHIVES\Y4_REAL_SPACE_SOS_PACKAGE.zip","Atomic historical O4 real-space SOS package","authoritative saved-kernel provenance","426851","BD3D64CAA866CE919CA1B67DC2991FF98D7D59FEB653219ED05BD5AA807D7BDA"
"A53S4","A","06_ALL_RANK_O4","F:\THEORY\ZIP ARCHIVES\SU4_CLEAN_NO_EDIT_REPRODUCED.zip","SU4 exceptional-rank fourth-order release","exact fixed-rank archive; exceptional block acts scalarly only on the physical vector","28634","9F457E21AC4EEC3D411A68027737B9E009B0A43328088863AC7B763AB30BA23E"
"A53S5","A","06_ALL_RANK_O4","F:\THEORY\ZIP ARCHIVES\SU5_FOURTH_ORDER_COMPLETE_RELEASE.zip","SU5 fourth-order release","exact fixed-rank archive","647937","EE58DCED8A854801A8FA87B9FD1B61FFC83BEBE61148A252A5A61CDD55625543"
"A53S6","A","06_ALL_RANK_O4","F:\THEORY\ZIP ARCHIVES\SU6_DETERMINANT_ARCHIVAL_V2_BUNDLE.zip","SU6 determinant-sector fourth-order release","exact fixed-rank archive","662528","DA031D7E7D576F8EBEE70DBD1EEC422111272FB8E100D5B5AF34428436162901"
"A70M","A","11_HIGHER_ORDERS_AND_SHELLS","F:\THEORY\programs\one_plaquette\su3_string_tension_native_o5\README.md","Native exact SU3 fifth-order string-tension result","source-complete; expensive regeneration; canonical u coefficient negative","8861","52D9C8711BE355657573D445E10F19B9558B42D27BB9F86B4653CD6350E26B3E"
"A70E","A","11_HIGHER_ORDERS_AND_SHELLS","F:\THEORY\programs\one_plaquette\su3_string_tension_native_o5\ftw.py","Weight-blocked finite-field sigma5 engine","source-complete exact finite-field engine","11165","6510F425B9A784CB51ED4297ABA63451A5B070A2BB38E28C113E5251FCC50045"
"A70R","A","11_HIGHER_ORDERS_AND_SHELLS","F:\THEORY\programs\one_plaquette\su3_string_tension_native_o5\sigma5_full_certificate.py","Seven-prime CRT reconstruction runner","requires regenerated phase-two pickles; hard-coded scratch staging","3494","7D2B24C209A03DE33CA506B65DCFF28C85EAB2032FBB9C8BFB21A6AE8C358E76"
"A70J","A","11_HIGHER_ORDERS_AND_SHELLS","F:\THEORY\programs\one_plaquette\su3_string_tension_native_o5\SIGMA5_EXACT_CERTIFICATE.json","Seven-prime exact sigma5 result","output certificate; 189-bit unique reconstruction; stored magnitude positive","2750","96D4ADED74D78B275EC805E1E3151E91896CE92F3921C4AE47B6CCAA6B654E27"
"A71Z","A","11_HIGHER_ORDERS_AND_SHELLS","F:\THEORY\ZIP ARCHIVES\SHELL6_O2_SYMMETRY_REDUCED_V2_COMPLETE_RELEASE.zip","Complete shell-six and shell-four/six retained-space release","cold exact atomic archive; extracted directory incomplete","77923","DE6B80140EBFB6788713073F5AA3F7C57AF0F3936450DA0EA8018BFF48974419"
"A71M","A","11_HIGHER_ORDERS_AND_SHELLS","F:\THEORY\programs\one_plaquette\shell6_o2\v2_authoritative\SHELL6_AND_SHELL46_THEOREM_V2.md","Shell-six and shell-four/six theorem note","internally cold exact retained-space theorem","3149","1974943248BE600FD9B057F5FF0686C4F56A5E7C8C40AA520951323F4311AF3A"
