"id","tier","target_folder","source_path","role","status","bytes","sha256"
"A13R","A","03_HOMOLOGY_O2_O3","C:\Users\Alex\Downloads\CERT_SUN_closed_surface_stage1_certificate.json","All-rank second-order closed-surface output","cold result","3468","74F1932607FB68EAD235CE49C4BD85DB3C6E69FF670BE8ECB5D4E6EA1885787F"
"A20K","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\DATA_Y4_full_real_space_h4_kernel.json.gz","Saved 189-record historical fourth-order kernel","exact supplied kernel","1166","635D40FA8A5D7DA841FD30F36185EB96F14EC4C040678DDD8FB010379AFB2900"
"A21C","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\ENGINE_Y4_global_band_edge_certificate.py","Historical kernel global-edge verifier","cold fixed-kernel certificate","26683","8871934F6DFFF81B000571E02B89E47ABCEDA2AC91582D654340634AEAFB5118"
"A21R","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\CERT_Y4_global_band_edge_certificate.md","Historical kernel global-edge result","exact for supplied kernel","2009","54FB405DF05615CED353FF239A948A24191608A65E623FD1CB79F83ABA4DA6BC"
"A21V","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\CERT_Y4_stage3j_verdict.json","Historical kernel stage verdict","record","3075","99F38B83FC20E17855F4D06E1F728DDB0C05D3F21CD17AFC41432EB1D5E7F99B"
"A22","A","04_HISTORICAL_SU3_O4","F:\THEORY\papers\flat_band\THM_Y5_fourth_order_t1pm_band_theorem_v0_8.md","Historical fourth-order theorem source","superseded physical interpretation","26524","E47BA01941AC988626CE5EBE99B98513A879720DCD65855497FA1E32860E52DA"
"A30S","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\15 hour RUN.txt","Completed run source and full transcript","blind scalar plus forced final alignment","693354","3846A022B4BD6874E332E8B16F4ED13A5706AF1BE855CC059763533D721D309E"
"A30R","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\15 hour RUN. results.txt","Compact completed run results","mixed verdict","360644","B2674DA19A0C92546E21383A465B758FDAF9821511E093E6DB2412F065C1A8CA"
"A31A","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\03-unified-proposal.md","Rules for an unshifted adjudication","governing forensic proposal","13097","82B6BE8038B0E93BD632DE0C8849FADAAE906626AE8ABF4761AD70C02BA43984"
"A31B","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\05-latest-run-forensics.md","Latest-run dataflow audit","governing forensic record","16173","A80890E52EBBB56335EEBCF50BCCCEF16BC9F2794ED1D5FA159EAA25E429147B"
"A31C","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\06-pattern-2-5-runtime-forensics.md","Order-schedule audit","quarantines forbidden branch","7368","646092ECE08E19C36D0C82092F47A32AC2AE876727F580E164109A2491A575DA"
"A31D","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\06-physicalq-q2.md","Physical-Q status and blocked components","governing status record","18951","0E686161F25EBC0962BAA0D7AEB7AD12A905D1301100BD538C1A1E2643A5898F"
"A31E","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\09-dual-cold-oracle.md","Dual-cold design and status","governing status record","17309","80EE209C0C853DB7403E2B33BA49D0191057B9A720F0D14F45A17C9A75DF722C"
"A32N","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\NB_O4_hodge_v10a25_hamer_gelfand_a100.ipynb","Hamer normalization bridge notebook","conditional convention cross-check","382366","4E0F7970D659CF569BD99E7EBDDBF41F3590E1DFEC615A6CDD6F5498F9BFE61D"
"A32T","A","05_PHYSICAL_O4_ADJUDICATION","C:\Users\Alex\Downloads\Monday 531 PM.txt","Hamer notebook transcript","supporting record","539676","80E8BD95FF6879F7F1BCBBDF6561935CADF096FD823923E1C434EE5C9615C817"
"A40E","A","10_TESTS","C:\Users\Alex\Downloads\DATA_SU3_Exact_MarkedCluster_m4_Colab.py","Target-blind exact marked-cluster engine","not yet physically evaluated","288745","9E158AF7E7FE012CA452D2455AB6BF6F71B14F5CC5C10A6E49F826B837D32844"
"A40T","A","10_TESTS","C:\Users\Alex\Downloads\ENGINE_O4_test_hodge_su3_exact_markedcluster_m4_colab.py","Marked-cluster tests","self-test and preflight support","8944","67B4FE5E3DA4DAEF972130828B82A6E90284DC2E383600A801F6BAEFC59C74FD"
"A41E","A","10_TESTS","C:\Users\Alex\Downloads\ENGINE_Y4_hodge_canonical_o4_production_colab.py","Canonical historical-kernel production engine","not yet production-run","446723","1970C63A426812BECE12B1BE1706958FD8EA9ECFBEB3D305875D40FF6F2266B5"
"A41T","A","10_TESTS","C:\Users\Alex\Downloads\test_ENGINE_Y4_hodge_canonical_o4_production_colab.py","Canonical production tests","tests pass against fixture","56567","A0E89BC026F272040A9186F2A284AEBC6363EF8335B42380D99A3BAB12EDD557"
"A41F","A","10_TESTS","C:\Users\Alex\Downloads\DATA_Y4_stagei_authority_fixture.xz.b85","Sealed historical authority fixture","fixture not independent discovery","78736","718270E59F921F32D7A576E4D4A36087667009F65D4A90C0DE76539E377DCEF3"
"A50J","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\CERT_Y4_sun_all_n_ge_3_band_shape_2026-06-14.json","All-rank band-shape certificate","output-certified","6668","B470A8E2CECC7E36660A33B956977C946A64158E7E7FA291DA1C906F33BF557A"
"A50M","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\CERT_Y4_sun_all_n_ge_3_band_shape_2026-06-14.md","All-rank band-shape report","output-certified","2720","95186F8E7E6344B3980018DD050E073E46524E182CC66485CC4A361E554198A4"
"A50V","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\ENGINE_Y4_sun_all_n_ge3_band_shape_verify.py","All-rank formula verifier","cold verifier over saved outputs","2986","2B6BE8918E611ACD799A76C475783D1B73FD72CADC02AD349234F63F66981F71"
"A51J","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\CERT_Y4_sun_walled_brauer_full_symbolic_certificate_2026-06-14.json","Full symbolic certificate","output-certified","9514","068CEBB27C29D2D43A38B8CA153BCF393234BAB116BC0D75DA45D5DE3A95C7F4"
"A51M","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\CERT_Y4_sun_walled_brauer_full_symbolic_certificate_2026-06-14.md","Full symbolic report","output-certified","5420","F4EB090C5E0A953559DFCFFC1D1489FD777F64468DCBB4758E7C2F07E980B0C2"
"A52J","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\independent_rerun_kernels\CERT_Y4_sun_full_symbolic_independent_rerun_2026-06-14.json","Independent-rerun kernels","supporting output","17500","4DD28303EA3AF36D9ED89B1ED2498C6D9907FCAEDB0BA7F6361B8C5B648D05CC"
"A52M","A","06_ALL_RANK_O4","F:\THEORY\programs\one_plaquette\sun_band_shape\independent_rerun_kernels\NOTE_Y4_sun_full_symbolic_independent_rerun_2026-06-14.md","Independent-rerun report","supporting output","3595","40744B2EFAD07638F4AA00B88E70537CC21DFE90828D9516C7CE1BC13AFF7DFF"
"A60","A","08_PENTAGONAL_SEPARATE_MODEL","C:\Users\Alex\Downloads\pentagonal_o4_dual_cold_verification_bundle.zip","Pentagonal cap exact bundle","cold-certified separate model","111743","F2A8B30DE1BA5F23F34C10A3102C42F000CA23F8F7EB1BBFDD9B068BB14DA54A"
"B10","B","90_SUPERSEDED","C:\Users\Alex\Downloads\PAPER_SUN_su_n_homological_flat_bands_rank_cubic.docx","Older all-rank topology derivation","safe lower-order formulas; stale higher-order status","52367","AF3A56E74FEACFD68A07A2EB95090CF9540717165649C6090037F1229EE36ED8"
"B11","B","90_SUPERSEDED","C:\Users\Alex\Downloads\PAPER_FLUX_gauge_constrained_spectral_geometry_unified_v1_4_2026-08-08.pdf","August 8 unified review","useful local theorem and architecture; stale O4 interpretation","417729","AD6774C7CBBB61D707155102CE8A15E9972B1A2EE82F7CB038881F56D86E9ED4"
"B12","B","90_SUPERSEDED","C:\Users\Alex\Downloads\flatband paper.pdf","July flat-band paper","safe topology and conditional rigidity; historical notation","326323","A04D73EF71C4EBB4EF37C74897714E3AEEC7103701BF274187028A7C850E8AB5"
"B13N","B","90_SUPERSEDED","C:\SIMULATIONS\NOTE_FLUX_novel_derivations.md","Larger revised August 8 derivation audit","legacy forensic source","29483","50AABDA6824CE4E18099888DDBC3ED3E11DEE17E448BA175BB1A2883974039F8"
"B13O","C","90_SUPERSEDED","C:\Users\Alex\Downloads\NOTE_FLUX_novel_derivations.md","Earlier derivation audit revision","superseded by larger simulations copy","22928","05FF650CDE1B82AEF73BEA7DEDD9721064F49C2CA7BB37217864C6DF6546D53C"
"B14C","B","07_MONTE_CARLO_BRIDGE","C:\Users\Alex\Downloads\SU3_T1pm_spatial_MC_POLARIZATION_v3 (1).py","Finite-momentum polarization and MC analysis code","code only; not ensemble certificate","133805","674F0C8E34E9B9A1D18920C6F88C5815EE83BD2EE22891AC7163CF8FF2DDD6F1"
"B14N","B","07_MONTE_CARLO_BRIDGE","C:\Users\Alex\Downloads\10-su3-monte-carlo.md","Monte Carlo audit note","supporting status record","16437","8B94E41B8360A9979911560F0268FB8ABB31C494B64987F6D59B8E12D0955662"
"B15","B","90_SUPERSEDED","C:\Users\Alex\Downloads\NOTE_FLUX_unified_theory_record_rank_cubic_spectral_geometry_2026-08-01.md","Older unified status record","use with August corrections","25202","EA7B47C62F9ED4521DF82C628FC7CEA9EE06D393F5C1B2862AE61853E29056B9"
"C00","C","90_SUPERSEDED","C:\Users\Alex\Downloads\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20.md","Previous main formula document","superseded by v2","44191","BD9E684972C0ACACE17E585F2F038C7BAAC8ECB52A0DA3FB61C53A272F8B86A6"
"C01","C","90_SUPERSEDED","C:\Users\Alex\Downloads\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_ADDENDUM.md","Previous addendum","folded into v2","8902","04665D092E899D6D2A5E1ACDFE727BB108593A61D5F926ABB6C2FF389241B215"
"A09E","A","02_NORMALIZATION","F:\THEORY\papers\flat_band\AUDIT_FLUX_normalization_erratum_2026-06-14.md","Canonical coupling-label erratum","governing convention record","3091","A1B04381951DF6F4A2080E110C253E8D6F10113E579B57B19822F5E7B05D51F8"
"A09C","A","02_NORMALIZATION","F:\THEORY\programs\one_plaquette\su3_o5_consolidated_y6\AUDIT_SU3_glueball_coupling_normalization_2026-06-14.md","Hamiltonian coupling audit","governing convention record","5049","D7D66C62250CD4F2F969C4CE43BB6FFCFD6AFF832B12692BA390946C51CC63F9"
"A09S","A","02_NORMALIZATION","F:\THEORY\programs\one_plaquette\su3_o5_consolidated_y6\sources\AUDIT_SU3_glueball_string_normalization_2026-06-14.md","String-series normalization audit","governing convention record","2928","E5A1D1240025D29D2F1BF9AE6AFEF07A60CDEF5988003B07EBAA07098506344D"
"A09Z","A","02_NORMALIZATION","F:\THEORY\ZIP ARCHIVES\GLUEBALL_STRING_NORMALIZATION_CORRECTION_V2.zip","Atomic normalization correction archive","canonical atomic bundle","39112","421C3AD0C38F6A2D3900B2239C31219318033B5A48844A88B3AA13C6E2670DA6"
"A14M","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\ENGINE_FLUX_su3_moments_ext.py","SU3 moment helper required by domino chain","cold dependency","17214","C4F4D702BCB2DFAB2EE766A3D1B731C823AEA481E46200A8543655162456C853"
"A14D","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\ENGINE_FLUX_su3_domino_d3.py","Exact third-order domino certificate","cold 251-of-251; output path nonportable","34816","D0E9D9905D7AB17667C59B5D0AD42CA8E7733A597528B9490D5AD228C4A0D5FA"
"A14R","A","03_HOMOLOGY_O2_O3","E:\YANG\ORGANIZED\12_ONE_PLAQUETTE\domino_certificates\RUN_TROM_d3_results.json","Exact third-order domino output","cold result","853","D2D653B427E35CA80E961B58E923AB186853011149E2DE829BFC926EE44F7242"
"A14T1","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\tromino_o3\ENGINE_TROM_tromino_contract_independent_check.py","Independent third-order contraction check","supporting exact certificate","13751","8F53B0FE892D506D21340E3FECC0C463BDCD6CEBFF01384C21353B874B345E81"
"A14T2","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\tromino_o3\ENGINE_TROM_tromino_candidate_closed_form_check.py","Third-order closed-form check","supporting exact certificate","3572","999F702C810E4AD3623189F37C419BB4D4F2F33748235EAA248C8E513279EEB1"
"A14V","A","03_HOMOLOGY_O2_O3","F:\THEORY\programs\one_plaquette\ENGINE_FLUX_master_v2_regression_certificate.py","Lower-order master regression","supporting certificate","9510","D1DAE1C784BB4774D329CC66E3412B2BE9781105F5CEBB4E7B9B3D26B12E8FDA"
"A23C1","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\ENGINE_Y4_indep_cert_check.py","Independent historical-kernel certificate check","exact fixed-kernel audit","3460","4960EBADB3D8347F73E585543B99F6359E26C357C8A83540B14A6469A2B9457E"
"A23C2","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\ENGINE_Y4_independent_verification.py","Independent historical-kernel verification","exact fixed-kernel audit","6217","2189FD5617FBA523FC0B0F1A2B83E99409D3161903DC955A6121CA2A24F525E6"
"A23K","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\AUDIT_Y4_curvature.log","Directional-curvature and no-Hessian audit","governing terminology correction","2856","F48D368AE47AC6A4ECAAB334036E98D4BD27FB29839BE5F13295B7E041056FDA"
"A23R","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\AUDIT_Y4_review_global_band_edge_certificate.md","Independent global-edge review","supporting exact audit","3412","4B66BB0C755548719BFC4B9260BCD277498C413308CC353C07216387D51D0008"
"A23S","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\NOTE_Y4_summary.md","Historical O4 verification summary","supporting status record","5098","8ED9623D5DE83639793C9E280DE08235E85BAFFA0EF7716355C2F25CB6BC4812"
"A23T","A","04_HISTORICAL_SU3_O4","F:\THEORY\programs\one_plaquette\y4_o3_flatband_verification\THM_Y4_theorem_flat_band_breaking_2026-06-13.md","Historical theorem with stale coupling label","must travel with normalization erratum","8993","061F049B42811D1F16D5927C2D021358050861238F1AAA2E3C64F961980B7AA3"
"A53Z1","A","06_ALL_RANK_O4","F:\THEORY\ZIP ARCHIVES\Y4_SUN_ALL_N_GE_3_BAND_SHAPE_BUNDLE_2026-06-14.zip","Complete all-N band-shape archive","authoritative atomic archive","217610","CAF998A7AAB36FAF89D5A08A76C2F0BE4EFA5F6C67D70723B5D1F1A7DBAA3DF9"
"A53Z2","A","06_ALL_RANK_O4","F:\THEORY\ZIP ARCHIVES\Y4_SUN_WALLED_BRAUER_FULL_SYMBOLIC_BUNDLE_2026-06-14.zip","Original full symbolic all-rank archive","authoritative atomic archive","458074","8FEEC874AA16C823BB837EFA8DF626D5CF735DB5ECAA6C90B8806DDF456B51A5"
"A53Z3","A","06_ALL_RANK_O4","F:\THEORY\ZIP ARCHIVES\Y4_SUN_SYMBOLIC_QAB_COMPACT_BUNDLE.zip","Compact QAB and P17-R20 archive","authoritative dependency bundle","9624","F8449BBF6BF1C865EAF41BFB4F31FBB9C89A7D833C820D204E6D3E28FE735A13"
"A61S","A","07_MONTE_CARLO_BRIDGE","C:\Users\Alex\Downloads\ENGINE_MC_su3_t1pm_spatial_nextrun.py","August finite-volume Monte Carlo source","source for structured numerical evidence","72561","73AF866AC2B593C3EC80719C202A122131BD1769982762F72DD0C6261E2A6A55"
"A61R","A","07_MONTE_CARLO_BRIDGE","C:\Users\Alex\Downloads\CERT_O4_next14.json","August L14 Monte Carlo structured output","numerical evidence; no raw ensemble","10938","94EE3BFB9294441E4ACBA0730669DD06AD8ED5AB471A3DED532A5D100812F04B"
"A62P","A","09_PRIMARY_LITERATURE","C:\Users\Alex\Downloads\LIT_Y5_8010101.pdf","Historical Hamiltonian convention paper","primary local convention source","431169","FFB45AFDE017A1F020E98ADB8567A71CFE950F8A05406A4823A4A1717B521CAB"
"B16","B","09_PRIMARY_LITERATURE","C:\Users\Alex\Downloads\Novelty-and-Priors Literature Check C-odd SU(N) Plaquette Observables, Trigonometric Factorizations, and One-Plaquette Gap Asymptotics.md","Research-prior and novelty audit","secondary research note","23532","A96C82DAF5F3F3EB946179D0373EA39E00FD7CA0607CB48C417DFE5CED11F4D8"
"B17","B","90_SUPERSEDED","C:\Users\Alex\Downloads\AUDIT_SU4_band.md","SU4 audit note","supporting but scientifically stale in parts","5390","AA709ECFA1EADC889A13AD6AA68E762D014F6E2497C92D276ACFE3099B349F61"
"C02","C","90_SUPERSEDED","C:\Users\Alex\Downloads\GLUEBALL_DETAILED_FORMULA_DOCUMENT_2026-08-20_v2.md","Prior theorem revision","superseded by v3.1","26315","43FE1A98D085A5B5DF142DB9AF85A50D963B050FF6894ED6AB9C2F74B485EED2"
"Q00","Q","99_QUARANTINE","C:\Users\Alex\Downloads\SOURCEOFGOD.txt","Conversation transcript containing forensic leads","not canonical scientific evidence","170433","BF637392B67C20861B36E7FEBA33CC447668392A8BE7D885AE0CE7F946FE78ED"
"C03","C","90_SUPERSEDED","C:\Users\Alex\Downloads\MASTER_THEORY.md","Broad legacy master synthesis","superseded by unified master v3","126954","9FD32C05136EC5E10E09DB9BCC46DD9E86CAA42F9BADBC3B72CE3351F6227DC3"
"C04","C","90_SUPERSEDED","C:\Users\Alex\Downloads\MASTER_THEORY_UNIFIED_2026-08-20_v2.md","Partial unified-master predecessor","superseded partial draft","8942","52B7EF5C3EAA1C778A0B79D58A87A2ABC2E0C398EF7C4CDA5718A6AF5EE6C051"
"C05","C","90_SUPERSEDED","C:\Users\Alex\Downloads\GLUEBALL_SOURCE_CONSOLIDATION_GUIDE_2026-08-20_v2.md","Previous consolidation guide","superseded by guide v3","18966","0F3E359573C0C8CD5C827DF556699B14D790840A4F2E14B1BAF313ECD3C57FB4"
"C06","C","90_SUPERSEDED","C:\Users\Alex\Downloads\GLUEBALL_CANONICAL_SOURCE_MANIFEST_2026-08-20_v2.csv","Previous byte-level provenance snapshot","superseded by manifest v3","18439","31275C8EFDD2A006CD29DFD2D7720201399B3820D0C8C50B2899D66B872AF289"
